Iteration      Fitness       CH       Total Distance       RCSD
    1           672.39       15            3661.53       2462.19
    2           719.82       13            3661.53       1897.97
    3           773.84       11            3661.53       1927.60
    4           785.96       9            3661.53       1387.54
    5           785.96       9            3661.53       1557.36
    6           785.96       9            3661.53       1388.12
    7           786.97       10            3661.53       1408.40
    8           795.80       8            3661.53       1413.67
    9           795.80       8            3661.53       1210.80
    10           795.80       8            3661.53       1291.60
    11           796.14       8            3661.53       1382.33
    12           798.81       8            3661.53       1268.86
    13           798.81       8            3661.53       1367.55
    14           798.81       8            3661.53       1321.94
    15           798.81       8            3661.53       1437.06
    16           798.81       8            3661.53       1187.67
    17           798.81       8            3661.53       1193.52
    18           800.38       7            3661.53       1228.63
    19           800.38       7            3661.53       1232.83
    20           800.38       7            3661.53       1116.72
    21           800.38       7            3661.53       1376.67
    22           800.38       7            3661.53       1327.69
    23           800.38       7            3661.53       1392.92
    24           800.38       7            3661.53       1338.51
    25           800.38       7            3661.53       1465.22
    26           800.38       7            3661.53       1408.11
    27           800.38       7            3661.53       1201.73
    28           800.38       7            3661.53       1403.81
    29           800.38       7            3661.53       1203.42
    30           800.38       7            3661.53       1277.35
    31           800.38       7            3661.53       1214.30
    32           800.38       7            3661.53       1406.96
    33           800.38       7            3661.53       1448.18
    34           800.38       7            3661.53       1248.31
    35           800.38       7            3661.53       1366.11
    36           800.38       7            3661.53       1110.74
    37           800.38       7            3661.53       1343.70
    38           800.38       7            3661.53       1393.96
    39           800.38       7            3661.53       1436.81
    40           800.38       7            3661.53       1191.98
    41           800.38       7            3661.53       1276.26
    42           800.38       7            3661.53       1355.52
    43           800.38       7            3661.53       1552.78
    44           800.38       7            3661.53       1274.01
    45           800.38       7            3661.53       1325.85
    46           800.38       7            3661.53       1276.04
    47           800.38       7            3661.53       1293.92
    48           800.38       7            3661.53       1575.22
    49           800.38       7            3661.53       1188.35
    50           800.38       7            3661.53       1188.69
    51           800.38       7            3661.53       1261.53
    52           800.38       7            3661.53       1481.85
    53           800.38       7            3661.53       1260.63
    54           800.38       7            3661.53       1410.80
    55           800.47       7            3661.53       1466.42
    56           800.47       7            3661.53       1426.73
    57           800.47       7            3661.53       1260.88
    58           800.47       7            3661.53       1285.81
