Iteration      Fitness       CH       Total Distance       RCSD
    1           706.57       23              3661.53         1802.95
    2           706.57       20              3661.53         1866.73
    3           708.05       19              3661.53         1484.04
    4           728.22       16              3661.53         1489.52
    5           728.22       15              3661.53         1421.23
    6           731.82       12              3661.53         1336.72
    7           733.72       15              3661.53         1419.77
    8           738.85       14              3661.53         1378.45
    9           751.95       12              3661.53         1324.46
    10           766.51       13              3661.53         1368.28
    11           766.51       12              3661.53         1337.49
    12           775.63       12              3661.53         1323.42
    13           775.63       11              3661.53         1294.47
    14           788.37       9              3661.53         1191.18
    15           790.79       11              3661.53         1191.77
    16           790.79       9              3661.53         1191.41
    17           796.87       7              3661.53         1137.37
    18           796.87       10              3661.53         1161.25
    19           801.84       9              3661.53         1173.66
    20           801.84       7              3661.53         1108.04
    21           801.84       7              3661.53         1145.86
    22           802.22       10              3661.53         1158.21
    23           802.22       10              3661.53         1117.30
    24           802.22       9              3661.53         1116.49
    25           802.22       9              3661.53         1100.97
    26           802.22       9              3661.53         1089.95
    27           802.22       9              3661.53         1115.22
    28           802.22       9              3661.53         1153.69
    29           802.22       9              3661.53         1153.69
    30           802.22       7              3661.53         1097.38
    31           802.22       9              3661.53         1192.13
    32           802.22       9              3661.53         1133.07
    33           802.22       9              3661.53         1090.82
    34           802.22       9              3661.53         1109.88
    35           802.22       9              3661.53         1173.88
    36           802.22       9              3661.53         1096.19
    37           802.22       9              3661.53         1147.13
    38           802.22       9              3661.53         1109.96
    39           802.22       9              3661.53         1127.48
    40           802.22       9              3661.53         1116.13
    41           802.22       9              3661.53         1101.79
    42           802.22       9              3661.53         1116.13
    43           802.22       9              3661.53         1140.13
    44           802.22       9              3661.53         1142.70
    45           802.22       7              3661.53         1193.02
    46           802.22       9              3661.53         1192.13
    47           802.22       7              3661.53         1116.13
    48           802.22       9              3661.53         1147.13
    49           802.22       9              3661.53         1111.67
    50           802.22       9              3661.53         1179.01
    51           802.22       9              3661.53         1132.18
    52           802.22       7              3661.53         1105.47
    53           802.22       9              3661.53         1171.66
    54           802.22       9              3661.53         1118.32
    55           802.22       7              3661.53         1098.85
    56           802.22       9              3661.53         1164.42
    57           802.22       9              3661.53         1100.97
    58           802.22       9              3661.53         1115.22
    59           802.22       9              3661.53         1142.70
    60           802.22       9              3661.53         1173.88
    61           802.22       7              3661.53         1141.81
    62           802.22       9              3661.53         1090.82
    63           802.22       9              3661.53         1171.66
    64           802.22       9              3661.53         1115.22
    65           802.22       9              3661.53         1097.86
    66           802.22       9              3661.53         1101.79
    67           802.22       9              3661.53         1160.84
    68           802.22       7              3661.53         1141.81
    69           802.22       9              3661.53         1165.49
    70           802.22       7              3661.53         1105.47
    71           802.22       9              3661.53         1111.67
    72           802.22       9              3661.53         1117.20
    73           802.22       9              3661.53         1187.02
    74           802.22       9              3661.53         1173.88
    75           802.22       7              3661.53         1116.13
    76           802.22       9              3661.53         1192.13
    77           802.22       9              3661.53         1173.88
    78           802.22       9              3661.53         1138.98
    79           802.22       7              3661.53         1193.02
    80           802.22       9              3661.53         1138.98
    81           802.22       9              3661.53         1089.95
    82           802.22       9              3661.53         1127.48
    83           802.22       9              3661.53         1136.59
    84           802.22       9              3661.53         1097.86
    85           802.22       9              3661.53         1097.86
    86           802.22       9              3661.53         1164.42
    87           802.22       9              3661.53         1127.48
    88           802.22       9              3661.53         1147.13
    89           802.22       9              3661.53         1109.18
    90           802.22       7              3661.53         1098.85
    91           802.22       9              3661.53         1157.35
    92           802.22       7              3661.53         1105.47
    93           802.22       9              3661.53         1163.52
    94           802.22       9              3661.53         1182.42
    95           802.22       9              3661.53         1117.20
    96           802.22       9              3661.53         1187.02
    97           802.22       7              3661.53         1193.02
    98           802.22       9              3661.53         1101.79
    99           802.22       9              3661.53         1109.18
    100           802.22       9              3661.53         1171.66

Best choosen Fitness :     802.22
